,Txn Date,Value Date,Cheque No.,Description,Branch Code,Debit,Credit,Balance
0,31-05-2024 21:33:42,01 Jun 2024,415210305087.0,UPI/DR/415210305087/PRAKASHA /YESB/**24739@ybl/UPI//ICIe786d2869bbe4d57929e85f42c60818a/31/05/2024 21:33:42,33,36.00,,20.55
1,01-06-2024 18:51:17,01 Jun 2024,451963454633.0,UPI/DR/451963454633/Google In/ICIC/**harge@icici/UPI//ICI8112691511494a3b8056e2f6f007c75e/01/06/2024 18:51:17,33,19.00,,1.55
2,03-06-2024 13:11:51,03 Jun 2024,415545179187.0,UPI/CR/415545179187/VINEETH N/UBIN/**23083@ibl/Payment //IBLf88356b5e3d641dd994d740e12762a0f/03/06/2024 13:11:51,33,,20.00,21.55
3,04-06-2024 07:38:03,04 Jun 2024,415613122903.0,UPI/CR/415613122903/SATHISH S/CNRB/**268-1@oksbi/UPI//SBI5182f5e163284be5b87d597017e61cf1/04/06/2024 07:38:03,33,,"1,000.00","1,021.55"
4,04-06-2024 17:26:42,04 Jun 2024,452268302463.0,UPI/DR/452268302463/akhiltom1/FDRL/**102-1@okicici/UPI//ICI03926385db404d2ebeaac613d66f7552/04/06/2024 17:26:42,33,500.00,,521.55
5,04-06-2024 17:45:27,04 Jun 2024,452299192741.0,UPI/DR/452299192741/english.b/INDB/**.payu@indus/UPIIntent//PPPL20061868783040624174515/04/06/2024 17:45:27,33,26.60,,494.95
6,04-06-2024 18:14:34,04 Jun 2024,452298701681.0,UPI/DR/452298701681/BMTC BUS /CNRB/**f0956@cnrb/Pay to M//ICIdd50abf07e6841db87f67e4f58faa8a5/04/06/2024 18:14:34,33,15.00,,479.95
7,04-06-2024 20:56:05,05 Jun 2024,415677515531.0,UPI/DR/415677515531/KENCHE GO/YESB/**go1sh@paytm/UPI//ICI5b1e6eb69b86458dab0130b36f623cbc/04/06/2024 20:56:05,33,30.00,,449.95
8,04-06-2024 22:47:44,05 Jun 2024,452234112860.0,UPI/DR/452234112860/Magicpin/YESB/**6qswf@paytm/UPI//PYTM40604806251139579917/04/06/2024 22:47:44,33,64.45,,385.50
9,04-06-2024 22:49:26,05 Jun 2024,452211403454.0,UPI/DR/452211403454/Magicpin/YESB/**6qswf@paytm/UPI//PYTM40604806259055089677/04/06/2024 22:49:26,33,31.76,,353.74
10,04-06-2024 22:51:27,05 Jun 2024,415667114286.0,UPI/DR/415667114286/Magicpin/YESB/**6qswf@paytm/UPI//PYTM40604806267779664905/04/06/2024 22:51:27,33,31.76,,321.98
11,05-06-2024 12:05:08,05 Jun 2024,452356233336.0,UPI/DR/452356233336/M R RAMESH/YESB/**1e1bh@paytm/UPI//ICIefbbd242f35249fa884aae8029b23bd0/05/06/2024 12:05:07,33,25.00,,296.98
12,05-06-2024 13:14:15,05 Jun 2024,415706187422.0,UPI/CR/415706187422/DIVYANSHU/ICIC/**77736@ibl/Payment //IBL9e8af8ba3b6b4fc09f8104ad92fc6e80/05/06/2024 13:14:15,33,,"1,500.00","1,796.98"
13,05-06-2024 13:18:15,05 Jun 2024,452305434468.0,UPI/DR/452305434468/KRISHNA/YESB/**4hb1u@paytm/UPI//ICI22c134b83ac6484e8dbc220c9310b0f1/05/06/2024 13:18:15,33,80.00,,"1,716.98"
14,05-06-2024 13:29:49,05 Jun 2024,452354717939.0,UPI/DR/452354717939/CAPITALFL/UTIB/**ricox@apl/Request //APLdd67562b80a24e2b95c9ec4ed06dd7cd/05/06/2024 13:29:49,33,"1,498.90",,218.08
15,05-06-2024 13:39:20,05 Jun 2024,415738025138.0,UPI/CR/415738025138/DIVYANSHU/ICIC/**77736@ibl/Payment //IBL58fbe14a818641c4a0c439adbf71c75b/05/06/2024 13:39:20,33,,200.00,418.08
16,05-06-2024 13:52:30,05 Jun 2024,452380121504.0,UPI/DR/452380121504/ROSHAN DE/CNRB/**mon25@okaxis/UPI//ICIb6eace900a4e4dd1afbf83c072d688df/05/06/2024 13:52:30,33,200.00,,218.08
17,05-06-2024 15:47:37,05 Jun 2024,415784982135.0,UPI/CR/415784982135/ROSHAN DE/CNRB/**mon25@oksbi/UPI//SBI7dca2752670c4ba4ad8db8e10c9d499c/05/06/2024 15:47:37,33,,90.00,308.08
18,05-06-2024 15:48:07,05 Jun 2024,415766951005.0,UPI/DR/415766951005/Magicpin/YESB/**6qswf@paytm/UPI//PYTM40605804328935319565/05/06/2024 15:48:07,33,90.11,,217.97
